Orthogroup	1_Dpini_HiFi_PB_ONT_primary_purged_correct_scaffIII_tsebra	2_GCF_021155765.1_iyDipSimi1.1_protein	3_GCF_021155785.1_iyNeoFabr1.1_protein	4_GCF_021901455.1_iyNeoLeco1.1_protein	5_GCF_021155775.1_iyNeoPine1.1_protein	6_GCF_021901495.1_iyNeoVirg1.1_protein	7_GCF_917208135.1_iyAthRosa1.1_protein	8_GCF_000612105.2_Oabi_2.0_protein	9_GCF_000143395.1_Attacep1.0_protein	GCF_001465965.1_Pdom_r1.2_protein	GCF_003254395.2_Amel_HAv3.1_protein	Total
OG0000086	1	12	15	15	13	13	5	11	1	8	6	100
OG0000087	13	11	12	13	19	12	16	3	0	0	1	100
OG0000088	5	18	1	1	1	1	31	1	1	31	9	100
OG0000089	1	4	19	23	22	19	1	4	1	4	1	99
OG0000090	2	12	12	13	12	13	11	4	1	8	11	99
OG0000091	0	9	13	12	12	13	8	10	1	8	13	99
OG0000092	3	0	13	13	10	13	10	5	1	5	25	98
OG0000093	2	11	16	16	16	17	11	3	1	2	2	97
OG0000094	4	14	9	15	9	10	8	4	1	9	14	97
OG0000095	1	10	18	20	20	15	4	3	1	4	1	97
OG0000096	6	9	11	14	12	11	10	3	2	3	16	97
OG0000097	3	7	14	15	15	15	5	1	1	8	13	97
OG0000098	3	13	11	11	11	11	12	10	1	9	4	96
OG0000099	3	10	10	10	10	10	14	8	1	6	14	96
OG0000100	1	4	16	15	15	16	4	3	1	16	5	96
OG0000101	2	7	10	10	10	10	7	15	1	8	16	96
OG0000102	3	0	9	9	9	9	9	10	1	23	14	96
OG0000103	1	10	13	14	14	14	9	7	1	5	7	95
OG0000104	3	10	13	13	13	12	6	10	1	5	8	94
OG0000105	1	8	11	12	12	11	6	2	1	14	16	94
OG0000106	1	7	11	12	12	11	10	13	1	2	14	94
OG0000107	1	12	11	13	13	13	6	6	1	7	10	93
OG0000108	2	10	11	11	11	11	16	8	1	12	0	93
OG0000109	1	11	12	3	12	12	12	1	1	9	19	93
OG0000110	1	9	9	10	10	9	15	9	1	11	9	93
OG0000111	1	9	13	13	13	13	13	2	1	15	0	93
OG0000112	2	6	10	11	13	10	12	6	1	11	11	93
OG0000113	6	9	10	10	10	6	7	8	1	19	7	93
OG0000114	2	9	10	10	10	10	13	1	1	14	12	92
OG0000115	0	6	11	16	13	12	13	6	1	8	6	92
OG0000116	0	1	16	16	16	20	4	4	1	4	10	92
OG0000117	1	11	14	13	13	14	8	4	1	7	5	91
OG0000118	62	14	1	3	3	1	1	0	5	0	0	90
OG0000119	2	8	15	15	15	14	11	1	1	5	3	90
OG0000120	3	6	8	15	15	9	5	8	1	3	17	90
OG0000121	1	11	14	14	14	14	5	7	1	6	3	90
OG0000122	1	9	11	11	11	11	10	2	1	9	14	90
OG0000123	4	11	11	11	11	11	17	5	1	1	7	90
OG0000124	1	1	19	20	21	19	3	1	1	1	2	89
OG0000125	4	14	12	12	12	12	8	3	1	7	4	89
OG0000126	8	4	17	20	11	20	1	2	1	2	2	88
OG0000127	1	10	10	10	10	10	8	8	1	9	11	88
OG0000128	87	0	0	0	0	0	0	0	0	0	0	87
OG0000129	1	11	10	10	10	10	8	11	1	8	7	87
OG0000130	2	8	10	10	11	10	9	10	1	11	5	87
OG0000131	9	8	8	8	8	8	10	9	5	6	8	87
OG0000132	1	6	15	6	6	5	10	8	1	14	14	86
OG0000133	2	3	8	8	8	7	6	12	1	15	16	86
OG0000134	1	9	10	10	10	10	9	0	0	11	15	85
OG0000135	1	1	9	9	9	13	25	1	1	1	15	85
OG0000136	1	4	20	5	20	20	1	1	1	7	5	85
OG0000137	2	10	12	12	12	12	7	5	1	4	8	85
OG0000138	3	9	10	10	10	10	3	10	1	8	11	85
OG0000139	1	8	8	8	8	8	6	12	1	10	15	85
OG0000140	1	0	13	13	13	13	11	1	1	11	8	85
OG0000141	2	8	9	11	11	10	15	4	1	8	6	85
OG0000142	2	10	11	10	10	11	12	6	1	4	8	85
OG0000143	2	10	12	12	12	12	9	3	1	1	11	85
OG0000144	3	4	8	7	7	8	14	12	1	8	12	84
OG0000145	3	1	1	4	4	5	12	6	1	13	33	83
OG0000146	6	11	11	12	11	11	6	3	4	4	4	83
OG0000147	1	5	11	11	11	11	16	2	1	1	13	83
OG0000148	4	7	10	10	10	8	15	6	1	3	9	83
OG0000149	2	8	11	10	10	11	7	2	1	9	12	83
OG0000150	0	4	11	10	10	10	15	6	0	12	5	83
OG0000151	2	6	8	9	9	8	5	14	1	11	9	82
OG0000152	67	8	0	4	2	0	0	1	0	0	0	82
OG0000153	3	8	8	8	8	8	13	7	1	7	11	82
OG0000154	3	10	13	12	12	11	7	5	1	5	3	82
OG0000155	2	10	11	13	13	12	11	1	2	6	1	82
OG0000156	3	10	5	14	14	6	2	5	1	12	10	82
OG0000157	2	7	9	9	10	9	10	5	1	11	8	81
OG0000158	2	7	8	8	8	8	11	5	1	13	10	81
OG0000159	6	8	9	9	9	10	12	1	1	10	6	81
OG0000160	1	5	10	10	10	10	9	9	2	6	9	81
OG0000161	2	7	7	10	9	10	11	1	1	12	11	81
OG0000162	1	9	12	11	11	12	4	8	1	7	4	80
OG0000163	1	15	15	14	14	14	0	6	1	0	0	80
OG0000164	4	11	9	7	8	9	11	1	1	9	10	80
OG0000165	2	7	7	7	7	7	6	10	1	13	13	80
OG0000166	1	8	12	12	12	12	2	10	1	4	6	80
OG0000167	2	7	8	10	9	8	10	8	1	7	10	80
OG0000168	1	5	12	13	12	12	5	5	0	7	7	79
OG0000169	2	0	9	9	8	9	34	2	1	1	4	79
OG0000170	3	7	8	8	8	8	9	9	1	9	9	79
OG0000171	1	5	14	14	15	14	5	3	2	1	5	79
OG0000172	1	1	2	6	4	6	50	0	1	6	1	78
OG0000173	20	16	9	11	9	11	2	0	0	0	0	78
OG0000174	4	8	8	8	8	8	8	3	5	8	10	78
OG0000175	2	5	7	7	7	7	16	1	1	9	16	78
OG0000176	6	5	12	14	30	11	0	0	0	0	0	78
OG0000177	1	12	12	12	13	12	8	7	1	0	0	78
OG0000178	1	8	11	11	12	11	9	2	2	7	4	78
OG0000179	3	0	10	8	8	8	13	3	1	13	11	78
OG0000180	4	6	8	8	8	8	7	8	1	7	12	77
OG0000181	1	12	10	12	11	10	3	8	1	4	5	77
OG0000182	1	11	12	13	14	12	14	0	0	0	0	77
OG0000183	3	11	11	11	11	11	8	1	1	5	4	77
OG0000184	6	7	8	9	9	8	10	4	5	5	6	77
OG0000185	12	4	13	10	11	13	1	5	1	1	6	77
OG0000186	5	7	7	7	8	8	3	6	1	24	1	77
OG0000187	2	4	7	7	7	7	14	13	1	5	10	77
OG0000188	3	15	14	13	13	14	2	1	1	1	0	77
OG0000189	2	6	11	11	11	11	7	6	1	3	8	77
OG0000190	1	8	10	9	10	10	7	4	2	8	8	77
OG0000191	3	4	13	13	13	12	9	1	1	3	5	77
OG0000192	3	5	14	12	13	13	2	1	1	1	12	77
OG0000193	43	4	1	6	3	4	6	0	0	9	0	76
OG0000194	1	9	11	11	11	11	5	2	1	6	8	76
OG0000195	6	9	10	10	10	10	5	5	1	10	0	76
OG0000196	8	18	7	8	9	10	7	3	3	2	1	76
OG0000197	1	11	11	13	11	11	7	1	1	1	8	76
OG0000198	4	7	8	8	8	8	13	9	1	9	1	76
OG0000199	2	4	10	9	9	9	9	9	1	9	5	76
OG0000200	3	6	9	8	10	9	8	3	1	8	11	76
OG0000201	61	6	3	2	2	0	0	1	0	0	0	75
OG0000202	9	2	14	14	19	8	7	0	2	0	0	75
OG0000203	1	11	10	10	10	9	2	5	1	16	0	75
OG0000204	1	6	12	13	13	13	5	5	0	2	5	75
OG0000205	1	8	8	8	8	8	9	8	1	6	10	75
OG0000206	2	4	8	11	8	9	20	1	2	1	9	75
OG0000207	3	8	11	11	11	11	4	3	1	4	8	75
OG0000208	1	6	10	10	10	10	10	5	1	1	11	75
OG0000209	2	2	14	14	15	14	3	4	1	4	2	75
OG0000210	3	10	10	10	10	3	4	11	1	4	9	75
OG0000211	2	9	9	9	9	9	3	7	1	5	11	74
OG0000212	73	0	0	0	0	1	0	0	0	0	0	74
OG0000213	3	6	8	9	9	8	8	7	1	5	10	74
OG0000214	2	9	9	10	10	9	8	7	1	3	6	74
OG0000215	1	1	15	17	18	17	1	1	1	1	1	74
OG0000216	1	8	8	6	9	8	11	5	1	6	11	74
OG0000217	1	5	9	9	9	9	15	6	2	6	3	74
OG0000218	5	10	3	9	7	8	17	5	4	3	3	74
OG0000219	1	5	5	5	5	5	11	12	1	16	8	74
OG0000220	1	7	13	13	13	13	6	3	1	3	1	74
OG0000221	2	8	8	8	9	8	8	7	1	9	6	74
OG0000222	1	2	10	10	10	10	6	5	1	8	11	74
OG0000223	5	0	9	8	8	8	11	11	1	9	4	74
OG0000224	73	0	0	0	0	0	0	0	0	0	0	73
OG0000225	2	3	10	9	9	8	11	9	2	8	2	73
OG0000226	3	6	6	6	6	6	9	7	1	11	12	73
OG0000227	1	5	9	8	8	10	18	4	1	1	8	73
OG0000228	6	5	12	24	7	11	4	1	1	1	1	73
OG0000229	1	4	8	8	8	8	9	3	1	11	12	73
OG0000230	1	5	9	9	9	9	9	8	1	3	10	73
OG0000231	11	4	6	6	6	6	13	6	1	12	2	73
OG0000232	5	11	12	10	11	10	1	1	1	4	7	73
OG0000233	4	6	6	6	6	6	7	7	1	11	13	73
OG0000234	1	4	13	14	15	14	2	1	1	7	1	73
OG0000235	0	5	16	14	16	16	2	0	0	0	4	73
OG0000236	72	0	0	0	0	0	0	0	0	0	0	72
OG0000237	3	6	9	9	10	9	10	8	1	6	1	72
OG0000238	2	5	11	20	22	12	0	0	0	0	0	72
OG0000239	1	5	7	8	8	7	13	7	1	7	8	72
OG0000240	2	8	8	8	8	8	8	12	1	5	4	72
OG0000241	1	7	8	9	9	8	9	7	1	5	8	72
OG0000242	1	8	9	9	10	8	10	4	1	4	8	72
OG0000243	5	6	9	9	9	8	7	11	1	2	4	71
OG0000244	2	8	8	8	8	8	5	9	1	10	4	71
OG0000245	5	3	13	13	13	14	2	2	1	3	2	71
OG0000246	2	6	8	8	9	8	7	4	1	11	7	71
OG0000247	1	9	10	9	9	9	1	2	2	2	17	71
OG0000248	1	8	8	8	8	8	8	7	1	8	6	71
OG0000249	1	2	6	10	8	7	10	1	1	14	11	71
OG0000250	2	6	9	8	8	8	8	9	1	1	11	71
OG0000251	3	3	9	8	8	2	7	10	5	7	9	71
OG0000252	5	5	9	16	17	9	5	2	1	1	1	71
OG0000253	6	0	7	7	7	7	2	3	1	18	13	71
OG0000254	7	6	12	10	17	13	3	2	0	0	0	70
OG0000255	4	7	10	11	10	10	4	3	1	4	6	70
OG0000256	2	11	10	10	10	10	8	2	1	3	3	70
OG0000257	2	8	9	8	8	9	5	6	1	5	9	70
OG0000258	4	7	6	5	11	6	8	3	1	10	9	70
OG0000259	1	3	10	9	10	9	13	1	1	6	7	70
OG0000260	4	11	1	9	9	9	12	4	1	2	8	70
OG0000261	3	7	6	7	7	7	6	8	1	11	7	70
OG0000262	1	6	12	12	12	12	2	4	1	3	5	70
OG0000263	2	7	9	12	12	10	1	5	1	10	1	70
OG0000264	3	5	9	10	9	9	8	4	1	6	6	70
OG0000265	1	1	11	11	11	11	5	1	1	8	9	70
OG0000266	1	5	10	10	10	10	2	12	1	6	3	70
OG0000267	1	5	8	9	9	8	6	5	1	5	13	70
OG0000268	1	9	10	9	11	10	6	2	1	8	3	70
OG0000269	4	3	8	8	8	5	7	8	1	8	10	70
OG0000270	2	8	11	10	10	11	6	4	1	5	2	70
OG0000271	1	4	8	8	8	9	6	8	1	8	8	69
OG0000272	1	10	7	7	7	7	9	1	1	10	9	69
OG0000273	1	2	8	8	8	8	7	8	1	6	12	69
OG0000274	6	2	7	8	8	8	9	5	1	4	11	69
OG0000275	3	7	11	10	11	11	4	1	1	6	4	69
OG0000276	2	8	8	10	8	10	7	5	1	1	9	69
OG0000277	1	8	10	9	11	10	7	6	1	3	3	69
OG0000278	5	7	8	8	8	8	10	2	1	1	11	69
OG0000279	1	8	8	8	8	8	7	7	1	6	7	69
OG0000280	4	9	9	9	9	9	6	3	1	4	6	69
OG0000281	4	4	6	6	6	12	21	4	3	1	2	69
OG0000282	1	3	13	13	13	12	1	1	1	4	7	69
OG0000283	0	7	11	10	10	10	5	1	1	11	3	69
OG0000284	0	9	13	13	14	9	7	2	0	1	1	69
OG0000285	2	8	7	7	7	7	6	7	1	5	11	68
OG0000286	9	6	10	9	9	11	6	1	3	3	1	68
OG0000287	8	6	7	7	7	7	9	3	4	5	5	68
OG0000288	1	3	9	9	9	10	4	3	0	4	16	68
OG0000289	1	9	8	10	10	8	7	2	1	1	11	68
OG0000290	2	4	6	6	6	6	5	14	1	9	9	68
OG0000291	3	9	9	10	10	9	6	2	1	5	4	68
OG0000292	9	3	10	10	10	10	3	4	1	4	4	68
OG0000293	1	6	8	8	8	8	10	10	1	7	1	68
OG0000294	5	7	11	6	6	7	7	2	1	7	9	68
OG0000295	1	5	11	11	10	11	3	4	1	6	5	68
OG0000296	1	8	10	10	10	10	6	1	1	6	5	68
OG0000297	1	5	11	11	9	11	4	5	1	4	6	68
OG0000298	2	3	10	10	10	9	11	1	1	5	6	68
OG0000299	1	0	11	14	13	12	9	3	1	1	3	68
OG0000300	0	0	15	17	14	22	0	0	0	0	0	68
OG0000301	5	6	11	9	10	9	6	5	1	1	4	67
OG0000302	2	8	9	9	9	9	8	5	1	3	4	67
OG0000303	5	0	6	10	5	6	18	0	0	17	0	67
OG0000304	1	8	8	10	8	10	2	4	1	10	5	67
OG0000305	1	2	11	8	5	11	10	4	0	12	3	67
OG0000306	2	5	8	8	8	8	6	6	3	7	6	67
OG0000307	2	5	7	7	5	7	10	4	1	10	9	67
OG0000308	3	7	9	9	9	9	7	2	1	5	6	67
OG0000309	3	6	12	12	12	12	3	1	1	1	4	67
OG0000310	2	6	6	6	6	6	9	1	1	9	15	67
OG0000311	2	6	9	8	9	9	11	5	1	7	0	67
OG0000312	1	10	10	10	9	10	4	3	1	4	5	67
OG0000313	1	1	11	11	11	10	10	5	1	0	6	67
OG0000314	5	4	11	10	11	10	4	1	1	3	7	67
OG0000315	3	6	6	6	6	6	8	5	1	8	11	66
OG0000316	1	4	8	8	8	8	7	11	1	1	9	66
OG0000317	2	3	11	12	12	11	2	6	1	4	2	66
OG0000318	1	6	6	6	6	6	9	7	1	10	8	66
OG0000319	3	5	6	6	6	6	14	8	1	6	5	66
OG0000320	2	7	7	7	7	7	11	7	1	6	4	66
OG0000321	4	7	5	7	5	5	7	9	1	6	10	66
OG0000322	1	4	9	10	10	10	5	4	1	5	7	66
OG0000323	2	4	4	1	1	4	4	13	1	14	18	66
OG0000324	1	6	12	11	12	12	5	1	1	0	5	66
OG0000325	0	0	1	33	2	30	0	0	0	0	0	66
OG0000326	1	7	7	8	8	7	5	6	1	5	10	65
OG0000327	1	6	7	7	7	7	11	4	1	4	10	65
OG0000328	2	2	9	9	9	10	6	4	1	4	9	65
OG0000329	1	8	8	9	9	8	6	6	1	5	4	65
OG0000330	3	7	8	8	8	7	4	7	1	8	4	65
OG0000331	1	5	5	5	5	5	11	18	1	2	7	65
OG0000332	1	8	12	13	10	12	3	2	1	1	2	65
OG0000333	4	8	8	8	8	8	5	6	1	6	3	65
OG0000334	1	4	9	8	9	9	9	1	1	7	7	65
OG0000335	1	7	7	9	9	1	13	6	1	1	10	65
OG0000336	1	3	5	5	5	5	18	8	1	1	13	65
OG0000337	2	0	9	9	9	9	8	7	1	4	7	65
OG0000338	1	6	8	9	10	8	5	2	1	5	9	64
OG0000339	1	1	6	7	7	6	14	8	1	5	8	64
OG0000340	3	4	13	12	4	4	7	1	1	10	5	64
OG0000341	4	7	6	7	7	6	11	7	1	1	7	64
OG0000342	3	2	2	3	3	2	12	5	1	16	15	64
OG0000343	1	7	8	9	9	8	5	5	1	5	6	64
OG0000344	2	5	10	10	11	9	6	4	1	5	1	64
OG0000345	4	7	7	7	8	7	7	6	2	7	2	64
OG0000346	1	7	9	11	11	10	3	5	1	5	1	64
OG0000347	1	4	5	7	7	5	10	1	1	12	11	64
OG0000348	3	6	8	8	8	8	9	1	1	6	6	64
OG0000349	0	0	9	25	21	9	0	0	0	0	0	64
OG0000350	1	5	7	4	6	5	5	9	1	8	12	63
OG0000351	1	6	10	9	9	10	6	0	1	7	4	63
OG0000352	1	8	7	7	7	7	2	6	1	11	6	63
OG0000353	6	7	8	8	8	8	3	2	1	5	7	63
OG0000354	1	3	11	11	9	10	5	0	1	1	11	63
OG0000355	2	5	9	9	8	9	4	4	1	3	9	63
OG0000356	5	8	7	7	7	7	6	5	1	5	5	63
OG0000357	2	3	4	4	4	4	20	2	1	7	12	63
OG0000358	2	13	8	8	6	8	7	4	1	5	1	63
OG0000359	1	4	6	8	8	9	10	1	1	10	5	63
OG0000360	3	7	10	10	10	10	2	3	1	3	4	63
OG0000361	1	5	6	3	4	6	4	4	1	8	21	63
OG0000362	5	6	6	5	5	5	6	8	5	5	6	62
OG0000363	1	2	13	3	20	14	2	2	1	2	2	62
OG0000364	1	9	9	10	10	11	7	2	1	1	1	62
OG0000365	2	7	7	7	8	7	8	3	1	2	10	62
OG0000366	1	6	10	3	10	10	3	2	1	8	8	62
OG0000367	1	7	6	6	6	8	6	9	1	3	9	62
OG0000368	2	1	8	8	7	8	6	5	1	10	6	62
OG0000369	3	6	7	7	7	7	5	1	1	5	13	62
OG0000370	2	9	13	1	1	12	12	4	1	1	6	62
OG0000371	6	6	6	6	6	6	6	6	5	4	5	62
OG0000372	2	4	7	7	7	7	9	8	1	7	3	62
OG0000373	3	5	7	6	6	7	7	7	1	6	7	62
OG0000374	1	1	10	10	10	7	6	3	1	6	7	62
OG0000375	2	8	7	8	8	7	11	2	1	3	5	62
OG0000376	1	5	9	9	9	9	6	5	1	3	5	62
OG0000377	3	6	10	11	11	10	4	1	1	4	1	62
OG0000378	1	5	8	8	8	8	7	4	1	5	7	62
OG0000379	2	6	7	7	7	7	4	5	1	9	7	62
OG0000380	0	0	0	0	0	0	0	0	35	12	15	62
OG0000381	3	5	12	10	10	12	1	2	1	3	2	61
OG0000382	4	6	8	8	8	8	2	4	2	6	5	61
OG0000383	1	8	9	8	8	9	8	1	1	8	0	61
OG0000384	2	2	12	12	12	13	1	0	1	2	4	61
OG0000385	1	4	5	5	5	5	10	1	1	12	12	61
OG0000386	4	5	6	9	9	9	4	2	11	1	1	61
OG0000387	3	7	1	4	1	1	6	2	2	13	21	61
OG0000388	5	1	5	19	25	3	1	0	1	0	1	61
OG0000389	1	9	9	9	9	9	4	1	1	4	5	61
OG0000390	4	8	8	8	8	8	5	3	2	6	1	61
OG0000391	2	7	9	9	9	9	3	4	1	2	6	61
OG0000392	1	8	9	9	9	6	9	1	1	3	5	61
OG0000393	2	8	8	7	8	8	3	2	1	7	7	61
OG0000394	2	4	7	7	7	7	5	4	1	9	8	61
OG0000395	2	7	8	8	8	8	1	6	1	9	3	61
OG0000396	1	6	6	6	6	6	6	7	2	6	9	61
OG0000397	0	0	0	0	0	0	0	0	60	0	1	61
OG0000398	2	5	6	6	7	6	9	1	1	3	14	60
OG0000399	3	10	10	10	10	10	2	2	1	1	1	60
OG0000400	1	8	6	6	6	6	5	4	1	7	10	60
OG0000401	3	7	8	7	7	8	3	7	1	5	4	60
OG0000402	1	7	8	7	7	8	2	3	3	6	8	60
OG0000403	1	4	5	5	5	5	8	5	1	9	12	60
OG0000404	2	6	6	6	6	6	12	4	1	9	2	60
OG0000405	2	7	7	8	7	7	10	2	2	4	4	60
OG0000406	5	5	7	7	7	7	6	5	1	6	4	60
OG0000407	5	5	5	16	4	9	4	4	0	8	0	60
OG0000408	1	4	6	5	5	6	12	7	2	1	11	60
OG0000409	3	6	8	8	8	8	6	5	1	3	4	60
OG0000410	4	7	7	8	8	8	7	5	1	4	1	60
OG0000411	2	8	8	8	8	8	6	3	1	5	3	60
OG0000412	1	1	8	18	12	8	4	3	1	0	4	60
OG0000413	2	6	3	3	3	3	8	1	1	11	19	60
OG0000414	2	4	10	10	10	10	5	2	1	3	3	60
OG0000415	1	3	12	11	12	12	3	2	1	1	2	60
OG0000416	3	5	9	9	9	9	3	6	1	3	3	60
OG0000417	2	5	5	5	5	5	6	1	1	12	13	60
OG0000418	2	6	7	7	7	7	5	5	1	6	7	60
OG0000419	1	7	7	7	7	8	4	3	1	3	12	60
OG0000420	55	0	0	0	2	1	0	1	0	0	0	59
OG0000421	2	6	5	6	5	5	4	6	1	5	14	59
OG0000422	1	3	10	10	10	10	4	2	1	5	3	59
OG0000423	2	7	8	8	7	5	6	7	1	5	3	59
OG0000424	6	6	6	6	6	6	6	5	5	3	4	59
OG0000425	1	3	8	8	8	8	5	8	1	0	9	59
OG0000426	2	6	6	6	6	6	7	3	1	6	10	59
OG0000427	3	7	9	9	9	9	9	1	1	1	1	59
OG0000428	3	6	5	5	5	5	5	18	1	5	1	59
OG0000429	2	6	5	5	5	6	6	3	1	11	9	59
OG0000430	3	6	8	9	9	8	6	1	4	4	1	59
OG0000431	1	2	10	8	10	9	4	1	1	4	9	59
OG0000432	1	7	7	7	7	7	4	6	1	8	4	59
OG0000433	1	3	6	6	6	6	9	8	1	4	9	59
OG0000434	2	4	8	8	8	8	4	6	1	3	7	59
OG0000435	0	1	1	1	1	1	3	1	1	7	42	59
OG0000436	0	0	0	0	0	0	2	0	50	3	4	59
OG0000437	1	7	13	12	12	11	2	0	0	0	0	58
OG0000438	1	5	8	7	8	8	12	2	1	3	3	58
OG0000439	2	5	6	6	6	6	5	7	1	5	9	58
OG0000440	3	5	6	6	6	6	10	2	1	5	8	58
OG0000441	1	8	7	7	7	7	8	3	1	1	8	58
OG0000442	3	3	8	8	8	8	4	6	1	7	2	58
OG0000443	5	5	3	5	5	5	5	6	1	11	7	58
OG0000444	1	7	12	11	11	12	1	0	1	1	1	58
OG0000445	1	8	8	8	8	8	5	6	1	1	4	58
